index	e	o	t	k	T	S
265	0.05	1	0.5	1	1	50
266	0.05	1	0.5	0.6	5	50
267	0.05	1	0.5	0.7	5	5
268	0.05	1	0.5	0.5	1	50
269	0.05	1	0.5	0.3	5	50
270	0.05	1	0.6	0.3	1	50
271	0.05	1	0.6	0.8	5	1
272	0.05	1	0.5	0.2	5	50
273	0.05	1	0.5	0.4	5	1
274	0.05	1	0.5	0.6	1	50
275	0.05	1	0.6	0.8	1	10
276	0.05	1	0.5	0.5	10	5
277	0.05	1	0.6	0.1	1	50
278	0.05	1	0.5	0.8	5	1
279	0.05	1	0.5	0.4	1	5
280	0.05	1	0.6	0.5	5	50
281	0.05	1	0.6	0.6	5	1
282	0.05	1	0.6	0.1	1	1
283	0.05	1	0.5	0.1	1	10
284	0.05	1	0.5	1	5	1
285	0.05	1	0.5	0.5	10	1
286	0.05	1	0.5	0.3	5	5
287	0.05	1	0.5	0.3	1	5
288	0.05	1	0.5	0.4	5	5
289	0.05	1	0.5	0.2	5	5
290	0.05	1	0.5	0.9	1	50
291	0.05	1	0.5	0.1	5	5
292	0.05	1	0.5	0.6	5	1
293	0.05	1	0.5	0.9	5	1
294	0.05	1	0.5	0.6	10	5
295	0.05	1	0.5	0.4	10	50
296	0.05	1	0.5	1	10	1
297	0.05	1	0.5	0.3	10	5
298	0.05	1	0.5	0.9	10	50
299	0.05	1	0.5	0.7	1	10
300	0.05	1	0.5	0.3	5	10
301	0.05	1	0.5	1	1	5
302	0.05	1	0.5	0.4	10	10
303	0.05	1	0.5	0.6	1	5
304	0.05	1	0.5	0.9	5	10
305	0.05	1	0.5	0.7	1	5
306	0.05	1	0.5	0.9	1	10
307	0.05	1	0.5	0.5	10	50
308	0.05	1	0.5	0.5	5	50
309	0.05	1	0.5	0.6	1	10
310	0.05	1	0.5	0.5	1	1
311	0.05	1	0.5	0.1	10	50
312	0.05	1	0.5	0.1	5	1
313	0.05	1	0.8	0.8	5	5
314	0.05	1	0.8	0.9	5	5
315	0.05	1	0.8	0.5	10	5
316	0.05	1	0.8	0.6	10	50
317	0.05	1	0.8	0.2	10	5
318	0.05	1	0.5	0.5	1	10
319	0.05	1	0.5	0.7	10	10
320	0.05	1	0.5	0.9	5	50
321	0.05	1	0.5	1	10	50
322	0.05	1	0.5	0.9	5	5
323	0.05	1	0.5	0.8	10	10
324	0.05	1	0.5	0.8	5	10
325	0.05	1	0.5	1	1	1
326	0.05	1	0.5	0.1	1	1
327	0.05	1	0.5	0.2	1	50
328	0.05	1	0.8	0.8	1	50
329	0.05	1	0.8	0.4	1	5
330	0.05	1	0.8	0.7	1	1
331	0.05	1	0.8	0.4	5	50
332	0.05	1	0.8	0.3	5	1
333	0.05	1	0.8	0.3	10	1
334	0.05	1	0.8	0.5	5	1
335	0.05	1	0.8	0.5	10	10
336	0.05	1	0.8	1	5	50
337	0.05	1	0.8	0.2	5	10
338	0.05	1	0.8	0.7	1	10
339	0.05	1	0.8	0.3	10	5
340	0.05	1	0.8	0.8	1	10
341	0.05	1	0.8	0.6	1	10
342	0.05	1	0.8	0.4	10	10
343	0.05	1	0.8	0.5	5	50
344	0.05	1	0.8	0.7	1	5
345	0.05	1	0.5	0.7	1	50
346	0.05	1	0.5	0.5	5	10
347	0.05	1	0.5	0.4	1	10
348	0.05	1	0.5	0.2	1	10
349	0.05	1	0.5	0.7	1	1
350	0.05	1	0.5	0.1	10	5
351	0.05	1	0.8	0.3	10	50
352	0.05	1	0.5	0.7	5	10
353	0.05	1	0.8	0.4	10	1
354	0.05	1	0.5	0.3	1	10
355	0.05	1	0.8	1	5	1
356	0.05	1	0.5	0.6	10	50
357	0.05	1	0.5	0.2	1	1
358	0.05	1	0.5	0.5	5	5
359	0.05	1	0.5	0.4	1	1
360	0.05	1	0.5	0.1	1	5
361	0.05	1	0.5	0.7	10	50
362	0.05	1	0.8	0.5	1	1
363	0.05	1	0.5	0.1	5	10
364	0.05	1	0.5	0.8	5	50
365	0.05	1	0.5	0.6	10	1
366	0.05	1	0.5	0.8	10	1
367	0.05	1	0.8	0.2	10	1
368	0.05	1	0.8	0.1	10	10
369	0.05	1	0.8	0.1	5	50
370	0.05	1	0.5	1	10	5
371	0.05	1	0.5	0.6	10	10
372	0.05	1	0.5	0.7	10	5
373	0.05	1	0.5	0.4	10	5
374	0.05	1	0.5	0.1	10	1
375	0.05	1	0.8	0.6	5	1
376	0.05	1	0.5	0.2	10	1
377	0.05	1	0.5	0.9	10	5
378	0.05	1	0.5	0.6	5	10
379	0.05	1	0.5	1	10	10
380	0.05	1	0.5	0.1	5	50
381	0.05	1	0.5	1	5	5
382	0.05	1	0.5	0.6	1	1
383	0.05	1	0.5	0.3	1	50
384	0.05	1	0.5	0.8	10	5
385	0.05	1	0.5	0.9	1	1
386	0.05	1	0.5	0.2	1	5
387	0.05	1	0.5	0.3	10	10
388	0.05	1	0.8	0.1	5	1
389	0.05	1	0.5	0.5	10	10
390	0.05	1	0.5	0.7	10	1
391	0.05	1	0.5	0.3	1	1
392	0.05	1	0.8	0.8	5	10
393	0.05	1	0.8	0.7	5	5
394	0.05	1	0.8	0.6	10	5
395	0.05	1	0.8	0.4	1	1
396	0.05	1	0.8	0.7	10	10
397	0.05	1	0.8	0.6	10	10
398	0.05	1	0.8	0.8	5	1
399	0.05	1	0.8	0.2	1	1
400	0.05	1	0.8	1	5	10
401	0.05	1	0.8	0.4	5	1
402	0.05	1	0.8	0.6	1	1
403	0.05	1	0.8	0.2	5	5
404	0.05	1	0.8	0.5	1	10
405	0.05	1	0.8	0.9	1	1
406	0.05	1	0.8	0.8	1	1
407	0.05	1	0.8	1	10	5
408	0.05	1	0.8	0.9	1	50
409	0.05	1	0.8	0.8	10	5
410	0.05	1	0.8	0.2	1	5
411	0.05	1	0.8	0.9	1	10
412	0.05	1	0.8	0.3	5	50
413	0.05	1	0.8	0.9	5	1
414	0.05	1	0.8	0.9	10	10
415	0.05	1	0.8	0.5	5	10
416	0.05	1	0.8	0.3	1	5
417	0.05	1	0.8	0.3	1	10
418	0.05	1	0.8	0.2	1	10
419	0.05	1	0.8	0.4	10	50
420	0.05	1	0.8	0.9	10	5
421	0.05	1	0.8	0.7	10	50
422	0.05	1	0.8	0.2	1	50
423	0.05	1	0.8	0.1	10	50
424	0.05	1	0.8	0.2	5	1
425	0.05	1	0.8	0.6	10	1
